City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
61,Esperance,AU,-33.87,121.9,73.4,40,77,16.11,broken clouds,2021-01-05 06:16:53
62,Vestmannaeyjar,IS,63.44,-20.27,38.32,96,100,9.82,light rain,2021-01-05 06:16:53
63,Pevek,RU,69.7,170.31,-15.29,89,100,9.35,light snow,2021-01-05 06:16:53
64,Half Moon Bay,US,37.46,-122.43,50.0,93,1,2.35,clear sky,2021-01-05 06:16:53
65,Sunyani,GH,7.34,-2.33,70.34,99,15,2.77,few clouds,2021-01-05 06:16:53
66,Avarua,CK,-21.21,-159.78,80.6,78,35,13.87,scattered clouds,2021-01-05 06:14:01
67,Katsuura,JP,35.13,140.3,48.99,63,100,19.08,light rain,2021-01-05 06:16:54
68,Okhotsk,RU,59.38,143.3,-5.62,91,100,11.99,overcast clouds,2021-01-05 06:16:54
69,Cape Town,ZA,-33.93,18.42,73.99,77,75,20.8,broken clouds,2021-01-05 06:15:01
70,Acarau,BR,-2.89,-40.12,78.15,83,45,9.22,scattered clouds,2021-01-05 06:16:54
71,Husavik,IS,66.04,-17.34,37.4,64,20,16.11,few clouds,2021-01-05 06:16:55
72,Thompson,CA,55.74,-97.86,-4.0,83,90,2.26,light snow,2021-01-05 06:16:55
73,Bembereke,BJ,10.23,2.66,68.11,26,13,4.43,few clouds,2021-01-05 06:16:55
74,Alofi,NU,-19.06,-169.92,80.6,83,98,4.7,moderate rain,2021-01-05 06:16:55
75,Atuona,PF,-9.8,-139.03,78.48,77,98,18.41,overcast clouds,2021-01-05 06:16:56
76,Ratnagiri,IN,16.98,73.3,84.25,54,65,1.68,broken clouds,2021-01-05 06:16:56
77,Bredasdorp,ZA,-34.53,20.04,69.8,73,40,9.17,light rain,2021-01-05 06:16:56
78,Egvekinot,RU,66.32,-179.17,-4.41,85,100,9.48,overcast clouds,2021-01-05 06:16:56
79,Ostrovnoy,RU,68.05,39.51,12.2,95,70,11.59,broken clouds,2021-01-05 06:16:57
80,Ancud,CL,-41.87,-73.82,53.01,76,0,9.17,clear sky,2021-01-05 06:16:57
81,Braco Do Norte,BR,-28.27,-49.17,65.17,87,100,2.53,overcast clouds,2021-01-05 06:16:57
82,Puerto Ayora,EC,-0.74,-90.35,70.0,93,32,1.01,scattered clouds,2021-01-05 06:16:57
83,Brae,GB,60.4,-1.35,39.2,86,92,6.93,overcast clouds,2021-01-05 06:16:58
84,Katobu,ID,-4.94,122.53,82.76,83,100,5.93,moderate rain,2021-01-05 06:16:58
85,Broome,US,42.25,-75.83,33.01,92,90,4.7,overcast clouds,2021-01-05 06:16:58
86,Deputatskiy,RU,69.3,139.9,-29.06,84,20,5.73,few clouds,2021-01-05 06:16:59
87,Sur,OM,22.57,59.53,72.01,32,0,12.95,clear sky,2021-01-05 06:16:59
88,Beringovskiy,RU,63.05,179.32,-8.41,88,48,14.92,scattered clouds,2021-01-05 06:16:59
89,Sisimiut,GL,66.94,-53.67,11.41,93,100,7.74,light snow,2021-01-05 06:16:59
90,Umm Lajj,SA,25.02,37.27,74.52,56,0,5.44,clear sky,2021-01-05 06:16:59
91,Severo-Kurilsk,RU,50.68,156.12,19.49,90,77,22.24,broken clouds,2021-01-05 06:17:00
92,Henties Bay,NA,-22.12,14.28,71.01,84,66,4.0,broken clouds,2021-01-05 06:17:00
93,Pontianak,ID,-0.03,109.33,86.0,70,20,3.36,few clouds,2021-01-05 06:17:00
94,Tuktoyaktuk,CA,69.45,-133.04,-14.8,75,90,17.22,light snow,2021-01-05 06:17:01
95,Hilo,US,19.73,-155.09,75.2,78,90,2.08,light rain,2021-01-05 06:17:01
96,Kruisfontein,ZA,-34.0,24.73,72.0,95,95,1.01,light rain,2021-01-05 06:17:01
97,Caravelas,BR,-17.71,-39.25,74.55,92,1,5.41,light rain,2021-01-05 06:17:02
98,Salinopolis,BR,-0.61,-47.36,79.0,82,98,8.63,overcast clouds,2021-01-05 06:17:02
99,Alamogordo,US,32.9,-105.96,41.0,34,1,3.36,clear sky,2021-01-05 06:14:29
100,Poum,NC,-20.23,164.02,82.56,79,71,6.2,broken clouds,2021-01-05 06:17:03
101,Estelle,US,29.85,-90.11,57.99,100,40,5.82,scattered clouds,2021-01-05 06:17:03
102,Castro,BR,-24.79,-50.01,60.01,92,77,3.42,broken clouds,2021-01-05 06:17:04
103,Saint-Augustin,CA,51.23,-58.65,18.0,95,0,4.43,clear sky,2021-01-05 06:17:04
104,Togur,RU,58.36,82.83,-20.33,86,13,2.64,few clouds,2021-01-05 06:17:05
105,Andenes,NO,69.31,16.12,39.99,93,75,16.11,light rain,2021-01-05 06:17:05
106,Yizheng,CN,24.67,103.43,64.0,33,99,8.88,overcast clouds,2021-01-05 06:17:05
107,Qaanaaq,GL,77.48,-69.36,-5.48,73,42,4.99,scattered clouds,2021-01-05 06:17:06
