City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
341,Kirakira,SB,84.87,overcast clouds,-10.45,161.92,SanBiz Lodge
343,Itarema,BR,79.2,scattered clouds,-2.92,-39.92,Windvillage
345,Sarangani,PH,82.56,light rain,5.4,125.46,Ballistic Islet
348,Buala,SB,86.05,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
351,Nong Han,TH,86.0,clear sky,17.36,103.11,หนองหานรีสอร์ท
364,Fare,PF,81.95,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
366,Souillac,MU,82.4,scattered clouds,-20.52,57.52,Bils' Villa
367,Tete,MZ,82.4,few clouds,-16.16,33.59,Zambeze Paraíso Misterioso
370,Koungou,YT,86.0,light rain,-12.73,45.2,Villa Netibor
378,Ambilobe,MG,84.24,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
379,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
383,Broken Hill,AU,80.6,clear sky,-31.95,141.43,Daydream Motel & Cottages
388,Nosy Varika,MG,81.95,clear sky,-20.58,48.53,Hotel Volazara
389,Kimbe,PG,86.4,light rain,-5.55,150.14,Kimbe Bay Hotel
391,Along,IN,75.7,few clouds,28.17,94.77,Hotel West
394,Isangel,VU,82.4,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
399,Lashio,MM,80.76,overcast clouds,22.93,97.75,Hotel CF Lashio - Burmese Only
401,Alice Springs,AU,77.0,overcast clouds,-23.7,133.88,Desert Palms Alice Springs
404,Mersing,MY,80.6,few clouds,2.43,103.84,Timotel Hotel
406,Yulara,AU,84.2,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
408,Mandurah,AU,90.0,clear sky,-32.55,115.7,Atrium Hotel Mandurah
421,Antalaha,MG,82.31,light rain,-14.9,50.28,Hotel Vitasoa
425,Blitar,ID,84.06,moderate rain,-8.1,112.17,Hotel Tugu Sri Lestari Blitar
426,Salur,IN,82.8,scattered clouds,18.53,83.22,Thammana Bhagavan
427,Noumea,NC,80.6,broken clouds,-22.28,166.46,Hôtel Le Lagon
428,Samarai,PG,86.56,overcast clouds,-10.62,150.67,Nuli Sapi
429,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
430,Port-Gentil,GA,78.8,mist,-0.72,8.78,Fengshui Residence
439,Saint Thomas,BB,77.0,few clouds,13.18,-59.58,Jefferson's House
440,Namatanai,PG,85.48,broken clouds,-3.67,152.43,Namatanai Hotel
441,Akyab,MM,81.14,scattered clouds,20.15,92.9,Hotel Memory
442,Vanimo,PG,84.24,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
455,Maragogi,BR,76.41,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
456,Wagga Wagga,AU,84.99,clear sky,-35.12,147.37,The Club Motel and Apartments
463,Trairi,BR,78.6,light rain,-3.28,-39.27,janelas do mar
465,Xai-Xai,MZ,80.13,few clouds,-25.05,33.64,Platinum Hotel
471,Ugoofaaru,MV,82.36,overcast clouds,5.67,73.0,Ungoofaaru Inn
478,Bubaque,GW,80.38,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
480,Sagaing,MM,78.8,overcast clouds,21.88,95.98,Makara Cruise
482,Saint-Pierre,RE,84.2,broken clouds,-21.34,55.48,Lindsey Hôtel
486,Labuhan,ID,81.36,moderate rain,-6.88,112.21,bador sepret
489,Tiarei,PF,78.8,shower rain,-17.53,-149.33,Le Rocher de Tahiti
490,Meulaboh,ID,86.61,scattered clouds,4.14,96.13,Kost Pria
491,Hervey Bay,AU,87.8,overcast clouds,-25.3,152.85,Shelly Bay Resort
496,Saint-Joseph,RE,84.2,broken clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
499,Nelson Bay,AU,86.0,few clouds,-32.72,152.15,Mantra Nelson Bay
503,Tezu,IN,79.88,clear sky,27.92,96.17,Circuit House
504,Morondava,MG,84.16,moderate rain,-20.28,44.28,La Case Bambou
505,Bambanglipuro,ID,85.98,light rain,-7.95,110.28,Puri Brata
508,Sola,VU,83.8,overcast clouds,-13.88,167.55,Ulkel Guest House
512,Labuan,MY,86.0,few clouds,5.28,115.24,Tiara Labuan Hotel
515,Ahuimanu,US,75.2,light rain,21.44,-157.84,Paradise Bay Resort
522,Acajutla,SV,76.71,light rain,13.59,-89.83,Urbanización Brisas de Acajutla II
524,Tura,IN,78.42,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
531,Vao,NC,79.32,broken clouds,-22.67,167.48,Hotel Kou-Bugny
532,Acapulco,MX,75.74,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
536,Beaufort,MY,86.0,few clouds,5.35,115.75,The Gem Hotel Beaufort
540,Yeppoon,AU,89.6,broken clouds,-23.13,150.73,Villa Mar Colina
541,Kalmunai,LK,83.19,light rain,7.42,81.82,VS Villa
544,Auki,SB,86.04,overcast clouds,-8.77,160.7,Auki Motel
545,Mayumba,GA,77.9,overcast clouds,-3.43,10.66,LIKWALE LODGE
547,Beira,MZ,84.2,few clouds,-19.84,34.84,Beira Terrace Hotel
553,Soyo,AO,77.56,overcast clouds,-6.13,12.37,Hotel Mpampa
555,Mawlaik,MM,84.83,overcast clouds,23.63,94.42,AKZ Guest House
557,Cockburn Town,TC,76.21,clear sky,21.46,-71.14,Osprey Beach Hotel
559,Sokoni,TZ,82.4,light rain,-6.43,39.55,Ujamaa Beach Resort
561,Ca Mau,VN,83.77,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
564,Palauig,PH,85.05,clear sky,15.44,119.9,Myhousebythesea
576,Waingapu,ID,78.35,moderate rain,-9.66,120.26,Pondok Wisata Elim
578,Mitsamiouli,KM,83.28,light rain,-11.38,43.28,Foyer ADM
581,Barreirinha,BR,75.07,overcast clouds,-2.79,-57.07,Hotel e Restaurante Tupana Iwato
583,Quatre Cocos,MU,82.99,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
