City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mathathane,BW,2021-01-02 00:50:40,-22.27,28.75,71.71,73,55,22.97
70,Bolu,TR,2021-01-02 00:50:40,40.67,31.58,40.53,80,0,2.93
71,Port Alfred,ZA,2021-01-02 00:50:41,-33.59,26.89,62.01,75,34,3.0
72,Ponta Delgada,PT,2021-01-02 00:50:41,37.73,-25.67,57.2,71,75,13.87
73,Brae,GB,2021-01-02 00:50:41,60.4,-1.35,35.6,74,96,6.93
74,Margate,GB,2021-01-02 00:50:41,51.38,1.39,39.99,90,95,3.0
75,Upernavik,GL,2021-01-02 00:50:41,72.79,-56.15,19.06,87,100,4.94
76,Iqaluit,CA,2021-01-02 00:50:42,63.75,-68.51,-14.01,68,20,4.7
77,Cacule,BR,2021-01-02 00:50:42,-14.5,-42.22,67.5,66,0,2.17
78,Vaini,TO,2021-01-02 00:50:42,-21.2,-175.2,80.6,83,75,11.41
79,Port Blair,IN,2021-01-02 00:50:42,11.67,92.75,78.8,88,40,5.82
80,Aklavik,CA,2021-01-02 00:50:43,68.22,-135.01,-11.2,76,12,4.7
81,Talnakh,RU,2021-01-02 00:50:43,69.49,88.4,-20.2,75,20,15.66
82,Torbay,CA,2021-01-02 00:50:43,47.67,-52.73,24.01,67,75,29.97
83,Ancud,CL,2021-01-02 00:50:43,-41.87,-73.82,59.0,62,90,4.7
84,Andenes,NO,2021-01-02 00:50:44,69.31,16.12,35.6,80,17,9.17
85,Zheleznodorozhnyy,RU,2021-01-02 00:50:44,55.75,38.0,32.0,98,90,11.18
86,Ahipara,NZ,2021-01-02 00:50:44,-35.17,173.17,70.25,74,100,7.49
87,Georgetown,MY,2021-01-02 00:50:44,5.41,100.34,78.8,83,20,7.38
88,Esperance,AU,2021-01-02 00:50:44,-33.87,121.9,62.6,67,90,14.99
89,Barrow,US,2021-01-02 00:50:45,71.29,-156.79,-7.6,69,90,9.17
90,New Norfolk,AU,2021-01-02 00:50:45,-42.78,147.06,78.01,41,53,1.99
91,Nouadhibou,MR,2021-01-02 00:50:45,20.93,-17.03,62.6,72,0,12.75
92,Tuatapere,NZ,2021-01-02 00:50:45,-46.13,167.68,57.0,88,100,10.0
93,Xuanzhou,CN,2021-01-02 00:50:46,30.95,118.76,35.02,75,0,2.15
94,Lavrentiya,RU,2021-01-02 00:50:46,65.58,-171.0,15.53,94,100,14.61
95,Husavik,IS,2021-01-02 00:50:46,66.04,-17.34,26.6,86,40,2.24
96,Katangli,RU,2021-01-02 00:50:46,51.71,143.23,-5.85,81,100,13.8
97,Oranjemund,NA,2021-01-02 00:50:46,-28.55,16.43,62.51,73,0,9.06
98,Ishinomaki,JP,2021-01-02 00:50:47,38.42,141.3,28.4,79,40,10.29
99,Ilebo,CD,2021-01-02 00:50:47,-4.32,20.58,69.37,96,100,1.25
100,Mehamn,NO,2021-01-02 00:50:47,71.04,27.85,25.66,93,0,8.41
101,Lebu,CL,2021-01-02 00:50:47,-37.62,-73.65,57.38,77,0,20.51
102,Kavieng,PG,2021-01-02 00:50:48,-2.57,150.8,85.24,69,29,11.32
